ts,lat,lon,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2017-12-07 00:45,1.326,103.891,0.517,0.286,5,-11.75,0,0.0421,0.344,0.0,0.118,0.142,82.141,4
2017-12-07 00:45,1.326,103.891,0.517,0.286,5,-11.75,0,0.0421,0.344,0.0,0.118,0.142,82.141,4
2017-12-07 10:19,1.312,103.853,0.581,0.44,6,-9.565,0,0.0323,0.56,0.0,0.0931,0.265,74.981,4
2017-12-08 00:28,1.317,103.843,0.383,0.446,0,-8.693,0,0.0382,0.63,0.0,0.0946,0.213,77.399,4
2017-12-08 00:46,1.307,103.833,0.557,0.275,11,-13.659,0,0.111,0.237,2.67e-06,0.636,0.197,92.147,4
2017-12-08 09:50,1.314,103.851,0.517,0.286,5,-11.75,0,0.0421,0.344,0.0,0.118,0.142,82.141,4
2017-12-08 11:17,1.312,103.854,0.34,0.424,8,-8.741,0,0.0695,0.16,0.0,0.0819,0.229,85.198,3
2017-12-09 09:56,1.318,103.844,0.637,0.408,8,-7.694,1,0.0306,0.0702,0.000445,0.134,0.0703,128.024,4
2017-12-09 10:04,1.319,103.844,0.662,0.482,9,-9.786,1,0.0464,0.515,0.00553,0.119,0.294,98.05,4
2017-12-10 11:32,1.317,103.85,0.517,0.286,5,-11.75,0,0.0421,0.344,0.0,0.118,0.142,82.141,4
2017-12-10 11:36,1.314,103.846,0.449,0.332,5,-9.6,1,0.033,0.438,0.0,0.094,0.428,150.047,3
2017-12-10 11:48,1.314,103.846,0.662,0.482,9,-9.786,1,0.0464,0.515,0.00553,0.119,0.294,98.05,4
2017-12-11 00:06,1.312,103.853,0.425,0.435,8,-12.093,1,0.0751,0.25,0.00136,0.138,0.0877,158.473,3
2017-12-11 00:09,1.319,103.862,0.454,0.394,1,-11.273,1,0.0386,0.732,0.04,0.106,0.056,147.993,4
2017-12-11 10:25,1.316,103.866,0.513,0.413,0,-7.151,1,0.0372,0.565,3.52e-06,0.124,0.246,139.649,3
2017-12-12 00:28,1.328,103.888,0.449,0.332,5,-9.6,1,0.033,0.438,0.0,0.094,0.428,150.047,3
2017-12-12 09:44,1.336,103.888,0.467,0.883,2,-3.679,0,0.106,0.000321,0.000152,0.125,0.309,122.252,4
2017-12-12 09:56,1.319,103.865,0.446,0.915,7,-4.232,1,0.0416,3.02e-05,0.0,0.481,0.28,174.065,4
2017-12-12 10:09,1.314,103.85,0.467,0.883,2,-3.679,0,0.106,0.000321,0.000152,0.125,0.309,122.252,4
2017-12-13 10:01,1.336,103.888,0.457,0.515,4,-4.31,1,0.0261,0.358,0.0,0.278,0.222,74.984,4
2017-12-13 10:01,1.336,103.888,0.457,0.515,4,-4.31,1,0.0261,0.358,0.0,0.278,0.222,74.984,4
2017-12-13 10:16,1.313,103.853,0.54,0.902,1,-3.577,1,0.0442,0.0142,0.0,0.0756,0.692,75.033,4
2017-12-13 10:20,1.313,103.852,0.56,0.887,7,-6.314,1,0.0594,0.00388,0.0,0.341,0.198,130.026,4
2017-12-14 00:50,1.327,103.89,0.394,0.934,1,-3.563,0,0.0803,0.0268,0.0,0.326,0.401,192.018,4
2017-12-14 08:36,1.318,103.892,0.394,0.934,1,-3.563,0,0.0803,0.0268,0.0,0.326,0.401,192.018,4
2017-12-14 10:04,1.313,103.854,0.289,0.796,0,-4.22,1,0.0494,0.00837,2.61e-05,0.202,0.33,169.835,4
2017-12-14 10:09,1.313,103.851,0.565,0.732,9,-6.297,0,0.0283,0.128,0.0,0.365,0.288,83.984,4
2017-12-16 11:43,1.315,103.847,0.47,0.679,9,-4.724,1,0.0286,0.00469,0.000256,0.105,0.357,149.982,4
2017-12-16 11:47,1.313,103.847,0.517,0.286,5,-11.75,0,0.0421,0.344,0.0,0.118,0.142,82.141,4
2017-12-16 11:53,1.315,103.851,0.661,0.351,0,-8.846,1,0.0274,0.843,0.0,0.104,0.291,109.9,4
2017-12-18 00:45,1.313,103.852,0.607,0.83,3,-5.232,1,0.0267,0.0735,9.47e-05,0.138,0.443,119.988,4
2017-12-18 00:49,1.312,103.853,0.469,0.818,10,-2.153,1,0.0388,0.0613,0.031,0.105,0.264,146.081,4
2017-12-18 00:57,1.351,103.873,0.469,0.818,10,-2.153,1,0.0388,0.0613,0.031,0.105,0.264,146.081,4
2017-12-18 01:06,1.335,103.888,0.357,0.207,0,-9.177,1,0.0333,0.911,0.0,0.325,0.0814,179.655,3
2017-12-19 00:39,1.35,103.874,0.47,0.679,9,-4.724,1,0.0286,0.00469,0.000256,0.105,0.357,149.982,4
2017-12-19 11:51,1.316,103.851,0.461,0.646,2,-4.803,1,0.03,0.0443,0.0,0.051,0.431,167.88,4
2017-12-19 11:56,1.313,103.846,0.462,0.864,1,-3.841,1,0.0373,0.0404,0.00018,0.253,0.571,162.005,4
2017-12-19 12:02,1.313,103.849,0.437,0.822,9,-4.216,1,0.0364,0.0979,1.99e-06,0.101,0.275,96.012,4
2017-12-19 12:07,1.317,103.85,0.449,0.904,6,-5.264,0,0.0395,2.3e-05,0.212,0.14,0.738,155.047,4
2017-12-19 12:12,1.312,103.847,0.305,0.889,4,-3.029,1,0.0611,0.00026,2.06e-06,0.149,0.318,190.036,4
2017-12-20 09:21,1.313,103.85,0.554,0.927,11,-4.504,1,0.0649,0.000636,0.000672,0.115,0.598,141.034,4
